major_area_code,completion_dttm,station_code,species_code,number_sampled_num,length_num,sex_code,maturity_stage_code
2,14MAR2006:11:57:00.000,280,9605,1,177,1,
2,14MAR2006:11:57:00.000,280,9605,1,64,2,1
2,14MAR2006:11:57:00.000,280,9605,1,51,2,1
2,14MAR2006:11:57:00.000,280,9605,1,55,1,
2,14MAR2006:11:57:00.000,280,9605,1,46,2,1
2,14MAR2006:11:57:00.000,280,9605,1,40,1,
2,14MAR2006:11:57:00.000,280,9605,1,32,1,
2,14MAR2006:13:02:00.000,372,9605,1,52,1,
2,14MAR2006:13:02:00.000,372,9605,1,175,2,3
2,14MAR2006:13:34:00.000,400,9605,1,51,2,1
2,14MAR2006:13:34:00.000,400,9605,1,42,2,1
2,15MAR2006:09:18:00.000,339,9605,1,66,2,1
2,15MAR2006:12:24:00.000,178,9605,1,58,,
2,15MAR2006:12:24:00.000,178,9605,1,44,,
2,15MAR2006:12:24:00.000,178,9605,1,55,,
2,15MAR2006:12:24:00.000,178,9605,1,43,,
2,15MAR2006:12:24:00.000,178,9605,1,46,,
2,15MAR2006:12:24:00.000,178,9605,1,32,,
2,15MAR2006:12:24:00.000,178,9605,1,54,,
2,15MAR2006:12:24:00.000,178,9605,1,43,,
2,15MAR2006:13:32:00.000,160,9605,1,39,1,
2,15MAR2006:13:32:00.000,160,9605,1,38,1,
2,15MAR2006:14:28:00.000,31,9605,1,31,1,
4,16MAR2006:10:35:00.000,217,9605,1,161,2,3
1,16MAR2006:10:47:00.000,77,9605,1,24,2,1
1,16MAR2006:10:47:00.000,77,9605,1,177,2,2
1,16MAR2006:10:47:00.000,77,9605,1,173,2,2
1,16MAR2006:10:47:00.000,77,9605,1,129,2,1
1,16MAR2006:10:47:00.000,77,9605,1,171,1,
1,16MAR2006:10:47:00.000,77,9605,1,163,2,1
4,16MAR2006:11:08:00.000,226,9605,1,25,2,1
17,17MAR2006:09:35:00.000,3675,9605,1,38,2,1
17,17MAR2006:10:06:00.000,3676,9605,1,51,2,1
17,17MAR2006:11:36:00.000,3680,9605,1,43,1,
17,17MAR2006:13:51:00.000,3722,9605,1,27,1,
6,20MAR2006:07:56:00.000,93,9605,1,30,1,
6,20MAR2006:08:28:00.000,132,9605,1,141,2,
6,20MAR2006:10:17:00.000,190,9605,1,40,1,
6,20MAR2006:10:50:00.000,155,9605,1,70,2,1
6,20MAR2006:10:50:00.000,155,9605,1,63,1,
6,20MAR2006:10:50:00.000,155,9605,1,46,2,1
6,20MAR2006:10:50:00.000,155,9605,1,64,2,1
6,20MAR2006:10:50:00.000,155,9605,1,61,1,
6,20MAR2006:10:50:00.000,155,9605,1,79,1,
6,20MAR2006:10:50:00.000,155,9605,1,51,1,
6,20MAR2006:10:50:00.000,155,9605,1,32,2,1
6,20MAR2006:10:50:00.000,155,9605,1,28,1,
6,20MAR2006:10:50:00.000,155,9605,1,22,2,1
5,24MAR2006:09:36:00.000,267,9605,1,54,2,1
5,24MAR2006:09:36:00.000,267,9605,1,53,2,1
5,24MAR2006:09:36:00.000,267,9605,1,42,1,
5,24MAR2006:10:34:00.000,176,9605,1,22,2,1
5,24MAR2006:10:34:00.000,176,9605,1,42,2,1
5,24MAR2006:10:34:00.000,176,9605,1,175,2,2
5,24MAR2006:10:34:00.000,176,9605,1,60,2,1
19,24MAR2006:11:34:00.000,1656,9605,1,162,2,2
5,24MAR2006:11:47:00.000,152,9605,1,31,1,
19,24MAR2006:12:31:00.000,1739,9605,1,159,2,2
19,24MAR2006:12:31:00.000,1739,9605,1,160,2,4
5,24MAR2006:16:21:00.000,172,9605,1,73,2,1
5,24MAR2006:16:21:00.000,172,9605,1,34,1,
5,24MAR2006:16:46:00.000,171,9605,1,52,2,1
4,27MAR2006:11:18:00.000,93,9605,1,51,1,
4,27MAR2006:11:18:00.000,93,9605,1,79,1,
4,27MAR2006:11:18:00.000,93,9605,1,62,2,1
2,27MAR2006:12:14:00.000,485,9605,1,194,2,3
4,27MAR2006:12:34:00.000,91,9605,1,51,2,1
4,27MAR2006:12:34:00.000,91,9605,1,44,1,
4,27MAR2006:12:34:00.000,91,9605,1,69,1,
4,27MAR2006:12:34:00.000,91,9605,1,63,1,
4,27MAR2006:12:34:00.000,91,9605,1,49,1,
4,27MAR2006:12:34:00.000,91,9605,1,37,1,
4,27MAR2006:12:34:00.000,91,9605,1,39,1,
4,27MAR2006:13:28:00.000,102,9605,1,149,1,
4,27MAR2006:13:28:00.000,102,9605,1,57,1,
4,27MAR2006:13:28:00.000,102,9605,1,60,1,
4,27MAR2006:13:28:00.000,102,9605,1,48,1,
4,27MAR2006:13:28:00.000,102,9605,1,79,2,1
4,27MAR2006:13:28:00.000,102,9605,1,43,2,1
4,27MAR2006:13:28:00.000,102,9605,1,31,2,1
4,27MAR2006:13:28:00.000,102,9605,1,31,1,
4,27MAR2006:13:28:00.000,102,9605,1,52,1,
4,27MAR2006:14:58:00.000,61,9605,1,137,1,
4,27MAR2006:14:58:00.000,61,9605,1,59,2,1
4,27MAR2006:14:58:00.000,61,9605,1,28,1,
4,27MAR2006:14:58:00.000,61,9605,1,81,2,1
6,28MAR2006:09:36:00.000,36,9605,1,78,,
18,28MAR2006:10:26:00.000,444,9605,1,51,,
1,28MAR2006:10:28:00.000,131,9605,1,162,1,
1,28MAR2006:10:28:00.000,131,9605,1,126,2,1
18,28MAR2006:11:22:00.000,526,9605,1,164,,
7,29MAR2006:14:10:00.000,2,9605,1,52,2,1
7,29MAR2006:14:10:00.000,2,9605,1,55,1,
9,30MAR2006:09:13:00.000,83,9605,1,163,1,2
18,30MAR2006:11:20:00.000,669,9605,1,78,,
20,03APR2006:08:25:00.000,2034,9605,1,26,2,1
17,03APR2006:13:04:00.000,26,9605,1,166,2,2
4,03APR2006:13:07:00.000,98,9605,1,41,2,1
4,03APR2006:13:07:00.000,98,9605,1,56,1,
17,03APR2006:17:44:00.000,173,9605,1,147,2,2
5,04APR2006:07:56:00.000,237,9605,1,33,,
19,04APR2006:09:08:00.000,1539,9605,1,137,2,4
5,04APR2006:10:44:00.000,223,9605,1,45,1,
4,04APR2006:11:35:00.000,54,9605,1,99,2,1
4,04APR2006:11:35:00.000,54,9605,1,86,2,1
5,04APR2006:11:43:00.000,177,9605,1,41,1,
5,04APR2006:11:43:00.000,177,9605,1,58,1,
5,04APR2006:11:43:00.000,177,9605,1,53,2,1
5,04APR2006:11:43:00.000,177,9605,1,45,2,1
1,04APR2006:12:20:00.000,50,9605,1,24,1,
5,04APR2006:13:21:00.000,79,9605,1,84,1,
5,04APR2006:13:21:00.000,79,9605,1,89,1,
5,04APR2006:14:01:00.000,130,9605,1,51,2,1
5,04APR2006:14:01:00.000,130,9605,1,55,2,1
5,04APR2006:14:01:00.000,130,9605,1,47,2,1
5,04APR2006:14:01:00.000,130,9605,1,52,2,1
1,04APR2006:14:20:00.000,44,9605,1,161,1,
5,04APR2006:15:21:00.000,174,9605,1,45,2,1
5,04APR2006:16:29:00.000,93,9605,1,68,1,
5,04APR2006:16:59:00.000,47,9605,1,75,2,1
5,04APR2006:16:59:00.000,47,9605,1,63,1,
18,05APR2006:12:08:00.000,327,9605,1,57,,
6,07APR2006:08:59:00.000,121,9605,1,52,2,
6,07APR2006:09:20:00.000,141,9605,1,89,1,
6,07APR2006:09:20:00.000,141,9605,1,46,2,
2,07APR2006:11:36:00.000,382,9605,1,167,1,
2,07APR2006:13:15:00.000,381,9605,1,27,1,
2,07APR2006:13:15:00.000,381,9605,1,35,1,
2,07APR2006:13:15:00.000,381,9605,1,30,1,
3,10APR2006:10:22:00.000,309,9605,1,56,1,
3,10APR2006:10:22:00.000,309,9605,1,174,2,3
3,10APR2006:15:56:00.000,278,9605,1,73,1,
3,10APR2006:15:56:00.000,278,9605,1,41,2,1
2,11APR2006:11:21:00.000,115,9605,1,40,2,1
2,11APR2006:12:19:00.000,76,9605,1,116,1,
2,11APR2006:13:02:00.000,38,9605,1,116,1,
2,11APR2006:13:02:00.000,38,9605,1,120,1,
3,11APR2006:14:08:00.000,326,9605,1,163,1,
3,11APR2006:15:22:00.000,353,9605,1,43,1,
3,12APR2006:09:56:00.000,300,9605,1,162,2,2
3,12APR2006:09:56:00.000,300,9605,1,91,1,
3,12APR2006:09:56:00.000,300,9605,1,62,1,
2,17APR2006:09:56:00.000,391,9605,1,74,1,
6,17APR2006:11:03:00.000,156,9605,1,43,2,1
6,17APR2006:11:03:00.000,156,9605,1,118,1,
6,17APR2006:11:33:00.000,154,9605,1,52,2,1
6,17APR2006:11:33:00.000,154,9605,1,31,2,1
2,17APR2006:11:43:00.000,395,9605,1,74,2,1
4,17APR2006:11:48:00.000,84,9605,1,148,2,2
4,17APR2006:11:48:00.000,84,9605,1,59,1,
4,17APR2006:11:48:00.000,84,9605,1,62,2,1
4,17APR2006:11:48:00.000,84,9605,1,78,2,3
4,17APR2006:11:48:00.000,84,9605,1,56,2,1
4,17APR2006:11:48:00.000,84,9605,1,83,1,
4,17APR2006:11:48:00.000,84,9605,1,49,2,1
4,17APR2006:11:48:00.000,84,9605,1,58,1,
4,17APR2006:11:48:00.000,84,9605,1,52,2,1
4,17APR2006:11:48:00.000,84,9605,1,58,1,
6,17APR2006:12:38:00.000,114,9605,1,117,2,1
6,17APR2006:12:38:00.000,114,9605,1,47,2,1
4,17APR2006:13:45:00.000,106,9605,1,81,2,1
4,17APR2006:13:45:00.000,106,9605,1,97,1,
4,17APR2006:13:45:00.000,106,9605,1,68,1,
4,17APR2006:13:45:00.000,106,9605,1,77,1,
4,17APR2006:13:45:00.000,106,9605,1,77,2,1
4,17APR2006:13:45:00.000,106,9605,1,62,2,1
4,17APR2006:13:45:00.000,106,9605,1,128,2,2
4,17APR2006:13:45:00.000,106,9605,1,62,1,
4,17APR2006:13:45:00.000,106,9605,1,66,1,
4,17APR2006:13:45:00.000,106,9605,1,61,2,1
4,17APR2006:13:45:00.000,106,9605,1,111,2,2
4,17APR2006:13:45:00.000,106,9605,1,93,2,1
4,17APR2006:13:45:00.000,106,9605,1,108,2,1
4,17APR2006:13:45:00.000,106,9605,1,105,2,1
4,17APR2006:13:45:00.000,106,9605,1,113,1,
4,17APR2006:13:45:00.000,106,9605,1,64,2,1
4,17APR2006:13:45:00.000,106,9605,1,57,2,1
4,17APR2006:13:45:00.000,106,9605,1,52,2,1
4,17APR2006:13:45:00.000,106,9605,1,91,2,1
4,17APR2006:13:45:00.000,106,9605,1,61,2,1
4,17APR2006:13:45:00.000,106,9605,1,69,2,1
4,17APR2006:13:45:00.000,106,9605,1,66,2,1
3,17APR2006:14:22:00.000,150,9605,1,70,2,1
4,17APR2006:14:37:00.000,105,9605,1,59,2,1
4,17APR2006:14:37:00.000,105,9605,1,75,1,
4,17APR2006:14:37:00.000,105,9605,1,66,1,
4,17APR2006:14:37:00.000,105,9605,1,42,2,1
4,17APR2006:14:37:00.000,105,9605,1,59,2,1
4,17APR2006:14:37:00.000,105,9605,1,87,1,
4,17APR2006:14:37:00.000,105,9605,1,38,2,1
4,17APR2006:14:37:00.000,105,9605,1,74,2,1
4,17APR2006:14:37:00.000,105,9605,1,132,2,2
4,17APR2006:14:37:00.000,105,9605,1,58,1,
4,17APR2006:14:37:00.000,105,9605,1,65,2,1
4,17APR2006:14:37:00.000,105,9605,1,57,2,1
4,17APR2006:14:37:00.000,105,9605,1,99,1,
4,17APR2006:14:37:00.000,105,9605,1,36,1,
4,17APR2006:14:37:00.000,105,9605,1,128,1,
4,17APR2006:14:37:00.000,105,9605,1,92,2,1
4,17APR2006:14:37:00.000,105,9605,1,35,1,
4,17APR2006:14:37:00.000,105,9605,1,49,2,1
4,17APR2006:14:37:00.000,105,9605,1,39,1,
4,17APR2006:14:37:00.000,105,9605,1,81,1,
4,17APR2006:14:37:00.000,105,9605,1,55,2,1
4,17APR2006:14:37:00.000,105,9605,1,50,1,
4,17APR2006:14:37:00.000,105,9605,1,61,2,1
4,17APR2006:14:37:00.000,105,9605,1,68,1,
4,17APR2006:14:37:00.000,105,9605,1,66,2,1
4,17APR2006:14:37:00.000,105,9605,1,79,2,1
4,17APR2006:14:37:00.000,105,9605,1,83,1,
4,17APR2006:14:37:00.000,105,9605,1,63,2,1
4,17APR2006:14:37:00.000,105,9605,1,67,2,1
4,17APR2006:14:37:00.000,105,9605,1,56,1,
4,17APR2006:14:37:00.000,105,9605,1,52,1,
4,17APR2006:14:37:00.000,105,9605,1,46,2,1
4,17APR2006:14:37:00.000,105,9605,1,156,1,
4,17APR2006:14:37:00.000,105,9605,2,,,
4,17APR2006:14:37:00.000,105,9605,1,66,2,1
4,17APR2006:14:37:00.000,105,9605,1,161,2,2
3,17APR2006:14:56:00.000,149,9605,1,52,2,1
9,17APR2006:15:28:00.000,74,9605,1,164,2,2
3,17APR2006:16:13:00.000,88,9605,1,191,1,
3,17APR2006:16:13:00.000,88,9605,1,121,2,1
3,17APR2006:16:13:00.000,88,9605,1,69,2,1
5,18APR2006:07:26:00.000,264,9605,1,145,1,
5,18APR2006:07:26:00.000,264,9605,1,82,2,1
5,18APR2006:07:26:00.000,264,9605,1,33,1,
5,18APR2006:07:26:00.000,264,9605,1,55,1,
5,18APR2006:08:37:00.000,297,9605,1,105,2,1
5,18APR2006:08:37:00.000,297,9605,1,80,1,
5,18APR2006:09:09:00.000,299,9605,1,125,1,
5,18APR2006:09:09:00.000,299,9605,1,80,2,1
5,18APR2006:09:38:00.000,290,9605,1,72,2,1
1,18APR2006:09:42:00.000,113,9605,1,13,0,0
1,18APR2006:09:42:00.000,113,9605,1,178,2,2
5,18APR2006:11:42:00.000,67,9605,1,95,2,1
5,18APR2006:11:42:00.000,67,9605,1,68,2,1
1,18APR2006:12:06:00.000,107,9605,1,171,,
5,18APR2006:14:31:00.000,163,9605,1,70,1,
5,18APR2006:14:31:00.000,163,9605,1,65,1,
5,18APR2006:14:31:00.000,163,9605,1,91,1,
5,18APR2006:16:04:00.000,192,9605,1,97,2,1
5,18APR2006:16:04:00.000,192,9605,1,165,1,
3,19APR2006:11:21:00.000,461,9605,1,77,2,1
3,19APR2006:13:27:00.000,449,9605,1,38,2,1
3,19APR2006:14:05:00.000,407,9605,1,54,2,1
7,20APR2006:11:55:00.000,243,9605,1,128,,
17,23APR2006:08:53:00.000,109,9605,1,64,2,1
17,23APR2006:09:44:00.000,3745,9605,1,47,2,1
17,23APR2006:09:44:00.000,3745,9605,1,166,2,4
17,23APR2006:09:44:00.000,3745,9605,1,196,1,
17,23APR2006:13:00:00.000,3721,9605,1,82,2,1
4,24APR2006:10:55:00.000,254,9605,1,42,2,1
4,24APR2006:10:55:00.000,254,9605,1,57,1,
2,24APR2006:11:44:00.000,194,9605,1,52,2,1
2,24APR2006:11:44:00.000,194,9605,1,56,2,1
2,24APR2006:11:44:00.000,194,9605,1,63,2,1
2,24APR2006:11:44:00.000,194,9605,1,81,2,1
2,24APR2006:12:35:00.000,200,9605,1,71,2,1
4,24APR2006:12:49:00.000,276,9605,1,58,2,1
4,24APR2006:12:49:00.000,276,9605,1,59,2,1
4,24APR2006:12:49:00.000,276,9605,1,48,2,1
4,24APR2006:12:49:00.000,276,9605,1,107,1,
4,24APR2006:12:49:00.000,276,9605,1,53,1,
4,24APR2006:12:49:00.000,276,9605,1,29,2,1
4,24APR2006:12:49:00.000,276,9605,1,28,2,1
4,24APR2006:12:49:00.000,276,9605,1,77,2,1
4,24APR2006:12:49:00.000,276,9605,2,,,
8,24APR2006:13:36:00.000,321,9605,1,109,,
8,24APR2006:13:36:00.000,321,9605,1,92,1,
8,24APR2006:13:36:00.000,321,9605,1,88,2,
3,24APR2006:15:24:00.000,18,9605,1,92,2,1
3,24APR2006:15:24:00.000,18,9605,1,74,2,1
6,26APR2006:16:12:00.000,35,9605,1,103,2,1
